Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,DeathsPer,Recovered,RecoveredChange,RecoveredPer
03/26/2020,55,0,4,0,7.27,0,0,0.0
04/15/2020,153,0,9,0,5.88,0,0,0.0
04/16/2020,191,38,9,0,4.71,0,0,0.0
04/17/2020,202,11,10,1,4.95,0,0,0.0
04/19/2020,227,25,10,0,4.41,0,0,0.0
04/20/2020,253,26,11,1,4.35,0,0,0.0
04/21/2020,258,5,11,0,4.26,0,0,0.0
04/22/2020,263,5,11,0,4.18,0,0,0.0
04/23/2020,270,7,11,0,4.07,0,0,0.0
04/24/2020,280,10,11,0,3.93,0,0,0.0
04/26/2020,288,8,11,0,3.82,0,0,0.0
04/27/2020,297,9,12,1,4.04,0,0,0.0
04/28/2020,307,10,13,1,4.23,0,0,0.0
04/29/2020,309,2,13,0,4.21,0,0,0.0
04/30/2020,311,2,14,1,4.5,0,0,0.0
05/01/2020,318,7,14,0,4.4,0,0,0.0
05/02/2020,326,8,14,0,4.29,0,0,0.0
05/03/2020,334,8,14,0,4.19,0,0,0.0
05/04/2020,342,8,18,4,5.26,0,0,0.0
05/05/2020,347,5,19,1,5.48,0,0,0.0
05/06/2020,358,11,19,0,5.31,0,0,0.0
05/07/2020,375,17,19,0,5.07,0,0,0.0
05/08/2020,392,17,20,1,5.1,0,0,0.0
05/09/2020,414,22,20,0,4.83,0,0,0.0
05/10/2020,436,22,20,0,4.59,0,0,0.0
05/11/2020,459,23,20,0,4.36,0,0,0.0
05/12/2020,476,17,22,2,4.62,0,0,0.0
05/13/2020,486,10,22,0,4.53,0,0,0.0
05/14/2020,504,18,23,1,4.56,0,0,0.0
05/15/2020,513,9,24,1,4.68,0,0,0.0
05/16/2020,532,19,24,0,4.51,0,0,0.0
05/17/2020,551,19,24,0,4.36,0,0,0.0
05/18/2020,571,20,24,0,4.2,0,0,0.0
05/19/2020,591,20,30,6,5.08,0,0,0.0
05/20/2020,625,34,34,4,5.44,0,0,0.0
05/21/2020,660,35,35,1,5.3,0,0,0.0
05/22/2020,694,34,37,2,5.33,0,0,0.0
05/23/2020,709,15,37,0,5.22,0,0,0.0
05/24/2020,725,16,37,0,5.1,0,0,0.0
05/25/2020,741,16,37,0,4.99,0,0,0.0
05/26/2020,757,16,44,7,5.81,0,0,0.0
05/27/2020,780,23,45,1,5.77,0,0,0.0
05/28/2020,796,16,47,2,5.9,0,0,0.0
05/29/2020,824,28,48,1,5.83,0,0,0.0
05/30/2020,845,21,48,0,5.68,0,0,0.0
05/31/2020,866,21,48,0,5.54,0,0,0.0
06/01/2020,887,21,53,5,5.98,0,0,0.0
06/02/2020,890,3,56,3,6.29,0,0,0.0
06/03/2020,920,30,58,2,6.3,0,0,0.0
06/04/2020,926,6,59,1,6.37,0,0,0.0
06/05/2020,979,53,60,1,6.13,0,0,0.0
06/06/2020,1001,22,60,0,5.99,0,0,0.0
06/07/2020,1023,22,60,0,5.87,0,0,0.0
06/08/2020,1045,22,62,2,5.93,0,0,0.0
06/09/2020,1090,45,65,3,5.96,0,0,0.0
06/10/2020,1118,28,65,0,5.81,0,0,0.0
06/11/2020,1163,45,65,0,5.59,0,0,0.0
06/12/2020,1211,48,68,3,5.62,0,0,0.0
06/13/2020,1249,38,68,0,5.44,0,0,0.0
06/14/2020,1287,38,68,0,5.28,0,0,0.0
06/15/2020,1325,38,68,0,5.13,0,0,0.0
06/16/2020,1364,39,72,4,5.28,0,0,0.0
06/17/2020,1387,23,77,5,5.55,0,0,0.0
06/18/2020,1407,20,78,1,5.54,0,0,0.0
06/19/2020,1475,68,79,1,5.36,0,0,0.0
06/20/2020,1510,35,79,0,5.23,0,0,0.0
06/21/2020,1546,36,79,0,5.11,0,0,0.0
06/22/2020,1582,36,84,5,5.31,0,0,0.0
06/23/2020,1602,20,86,2,5.37,0,0,0.0
06/24/2020,1663,61,86,0,5.17,0,0,0.0
06/25/2020,1724,61,86,0,4.99,0,0,0.0
06/26/2020,1785,61,86,0,4.82,0,0,0.0
06/27/2020,1846,61,86,0,4.66,0,0,0.0
06/28/2020,1907,61,86,0,4.51,0,0,0.0
06/29/2020,1968,61,86,0,4.37,0,0,0.0
06/30/2020,2029,61,86,0,4.24,0,0,0.0
07/02/2020,2091,62,101,15,4.83,1175,0,56.19
07/03/2020,2172,81,101,0,4.65,1337,162,61.56
07/04/2020,2209,37,107,6,4.84,1389,52,62.88
07/05/2020,2262,53,108,1,4.77,1422,33,62.86
07/06/2020,2309,47,109,1,4.72,1443,21,62.49
07/07/2020,2322,13,109,0,4.69,1504,61,64.77
07/08/2020,2335,13,112,3,4.8,1574,70,67.41
