Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
03/26/2020,55,0,4,0,0,0
04/15/2020,153,0,9,0,0,0
04/16/2020,191,38,9,0,0,0
04/17/2020,202,11,10,1,0,0
04/19/2020,227,25,10,0,0,0
04/20/2020,253,26,11,1,0,0
04/21/2020,258,5,11,0,0,0
04/22/2020,263,5,11,0,0,0
04/23/2020,270,7,11,0,0,0
04/24/2020,280,10,11,0,0,0
04/26/2020,288,8,11,0,0,0
04/27/2020,297,9,12,1,0,0
04/28/2020,307,10,13,1,0,0
04/29/2020,309,2,13,0,0,0
04/30/2020,311,2,14,1,0,0
05/01/2020,318,7,14,0,0,0
05/02/2020,326,8,14,0,0,0
05/03/2020,334,8,14,0,0,0
05/04/2020,342,8,18,4,0,0
05/05/2020,347,5,19,1,0,0
05/06/2020,358,11,19,0,0,0
05/07/2020,375,17,19,0,0,0
05/08/2020,392,17,20,1,0,0
05/09/2020,414,22,20,0,0,0
05/10/2020,436,22,20,0,0,0
05/11/2020,459,23,20,0,0,0
05/12/2020,476,17,22,2,0,0
05/13/2020,486,10,22,0,0,0
05/14/2020,504,18,23,1,0,0
05/15/2020,513,9,24,1,0,0
05/16/2020,532,19,24,0,0,0
05/17/2020,551,19,24,0,0,0
05/18/2020,571,20,24,0,0,0
05/19/2020,591,20,30,6,0,0
05/20/2020,625,34,34,4,0,0
05/21/2020,660,35,35,1,0,0
05/22/2020,694,34,37,2,0,0
05/23/2020,709,15,37,0,0,0
05/24/2020,725,16,37,0,0,0
05/25/2020,741,16,37,0,0,0
05/26/2020,757,16,44,7,0,0
05/27/2020,780,23,45,1,0,0
05/28/2020,796,16,47,2,0,0
05/29/2020,824,28,48,1,0,0
05/30/2020,845,21,48,0,0,0
05/31/2020,866,21,48,0,0,0
06/01/2020,887,21,53,5,0,0
06/02/2020,890,3,56,3,0,0
06/03/2020,920,30,58,2,0,0
06/04/2020,926,6,59,1,0,0
06/05/2020,979,53,60,1,0,0
06/06/2020,1001,22,60,0,0,0
06/07/2020,1023,22,60,0,0,0
06/08/2020,1045,22,62,2,0,0
06/09/2020,1090,45,65,3,0,0
06/10/2020,1118,28,65,0,0,0
06/11/2020,1163,45,65,0,0,0
06/12/2020,1211,48,68,3,0,0
06/13/2020,1249,38,68,0,0,0
06/14/2020,1287,38,68,0,0,0
06/15/2020,1325,38,68,0,0,0
06/16/2020,1364,39,72,4,0,0
06/17/2020,1387,23,77,5,0,0
06/18/2020,1407,20,78,1,0,0
06/19/2020,1475,68,79,1,0,0
06/20/2020,1510,35,79,0,0,0
06/21/2020,1546,36,79,0,0,0
06/22/2020,1582,36,84,5,0,0
06/23/2020,1602,20,86,2,0,0
06/24/2020,1663,61,86,0,0,0
06/25/2020,1724,61,86,0,0,0
06/26/2020,1785,61,86,0,0,0
06/27/2020,1846,61,86,0,0,0
06/28/2020,1907,61,86,0,0,0
06/29/2020,1968,61,86,0,0,0
06/30/2020,2029,61,86,0,0,0
07/02/2020,2091,62,101,15,1175,0
07/03/2020,2172,81,101,0,1337,162
07/04/2020,2209,37,107,6,1389,52
07/05/2020,2262,53,108,1,1422,33
07/06/2020,2309,47,109,1,1443,21
07/07/2020,2322,13,109,0,1504,61
07/08/2020,2335,13,112,3,1574,70
07/09/2020,2357,22,112,0,1574,0
07/10/2020,2446,89,116,4,1661,87
07/11/2020,2496,50,116,0,1699,38
07/12/2020,2552,56,117,1,1699,0
07/13/2020,2577,25,119,2,1800,101
07/14/2020,2602,25,120,1,2007,207
07/15/2020,2638,36,121,1,2048,41
07/16/2020,2674,36,121,0,2058,10
07/17/2020,2766,92,122,1,2120,62
07/18/2020,2858,92,122,0,2174,54
07/19/2020,2888,30,123,1,2338,164
07/20/2020,2918,30,123,0,2338,0
07/21/2020,2996,78,123,0,2338,0
07/22/2020,3013,17,126,3,2365,27
07/23/2020,3031,18,128,2,2384,19
07/24/2020,3104,73,128,0,2384,0
07/25/2020,3155,51,136,8,2406,22
07/26/2020,3218,63,136,0,2426,20
07/27/2020,3326,108,137,1,2437,11
07/28/2020,3342,16,139,2,2501,64
07/29/2020,3358,16,139,0,2501,0
07/30/2020,3428,70,143,4,2672,171
07/31/2020,3521,93,144,1,2745,73
08/01/2020,3579,58,146,2,2785,40
08/02/2020,3638,59,147,1,2820,35
08/03/2020,3671,33,148,1,2841,21
08/04/2020,3713,42,149,1,2841,0
08/05/2020,3755,42,151,2,2906,65
08/06/2020,3825,70,154,3,2974,68
08/07/2020,3872,47,156,2,3029,55
08/08/2020,3949,77,158,2,3041,12
08/09/2020,4003,54,160,2,3061,20
08/10/2020,4069,66,162,2,3075,14
08/11/2020,4085,16,165,3,3138,63
08/12/2020,4151,66,168,3,3138,0
08/13/2020,4218,67,170,2,3288,150
08/14/2020,4279,61,173,3,3340,52
08/15/2020,4328,49,176,3,3801,461
08/16/2020,4368,40,178,2,3851,50
08/17/2020,4436,68,182,4,3891,40
08/18/2020,4504,68,185,3,3952,61
08/19/2020,4555,51,187,2,4005,53
08/20/2020,4606,51,188,1,4132,127
08/21/2020,4701,95,191,3,4132,0
08/22/2020,4756,55,191,0,4200,68
08/23/2020,4834,78,192,1,4222,22
08/24/2020,4861,27,192,0,4317,95
08/25/2020,4914,53,196,4,4438,121
08/26/2020,4967,53,198,2,4487,49
08/27/2020,5041,74,200,2,4539,52
08/28/2020,5104,63,206,6,4585,46
08/29/2020,5183,79,206,0,4638,53
08/30/2020,5281,98,211,5,4646,8
08/31/2020,5342,61,213,2,4768,122
09/01/2020,5417,75,215,2,4790,22
09/02/2020,5492,75,218,3,4803,13
09/03/2020,5576,84,220,2,4847,44
09/04/2020,5682,106,221,1,4847,0
09/05/2020,5771,89,224,3,4872,25
09/06/2020,5912,141,226,2,5043,171
09/07/2020,6014,102,227,1,5069,26
09/08/2020,6056,42,230,3,5177,108
09/09/2020,6150,94,231,1,5289,112
09/10/2020,6290,140,234,3,5384,95
09/11/2020,6418,128,237,3,5486,102
09/12/2020,6543,125,240,3,5564,78
09/13/2020,6660,117,241,1,5661,97
09/14/2020,6751,91,243,2,5691,30
09/15/2020,6792,41,247,4,5854,163
09/16/2020,6879,87,247,0,5881,27
09/17/2020,7001,122,247,0,6035,154
09/18/2020,7109,108,252,5,6113,78
09/19/2020,7213,104,254,2,6211,98
09/20/2020,7345,132,260,6,6364,153
09/21/2020,7410,65,265,5,6372,8
09/22/2020,7479,69,266,1,6505,133
09/23/2020,7573,94,268,2,6550,45
09/24/2020,7659,86,272,4,6638,88
09/25/2020,7787,128,276,4,6735,97
09/26/2020,7907,120,278,2,6831,96
09/27/2020,8067,160,281,3,6955,124
09/28/2020,8178,111,282,1,7111,156
09/29/2020,8243,65,284,2,7180,69
09/30/2020,8386,143,286,2,7340,160
10/01/2020,8543,157,291,5,7358,18
10/02/2020,8743,200,293,2,7562,204
10/03/2020,8943,200,295,2,7681,119
10/04/2020,9063,120,300,5,7557,-124
10/05/2020,9240,177,304,4,7854,297
10/06/2020,9341,101,309,5,7943,89
10/07/2020,9486,145,311,2,8157,214
10/08/2020,9693,207,316,5,8323,166
10/09/2020,9849,156,321,5,8420,97
10/10/2020,10026,177,332,11,8470,50
10/11/2020,10174,148,335,3,8622,152
10/12/2020,10373,199,337,2,8830,208
10/13/2020,10506,133,341,4,8987,157
10/14/2020,10678,172,346,5,9169,182
10/15/2020,10870,192,348,2,9324,155
10/16/2020,11067,197,353,5,9490,166
10/17/2020,11264,197,356,3,9576,86
10/18/2020,11431,167,362,6,9723,147
10/19/2020,11663,232,364,2,9791,68
10/20/2020,11848,185,371,7,10099,308
10/21/2020,12041,193,377,6,10158,59
10/22/2020,12296,255,385,8,10352,194
10/23/2020,12550,254,388,3,10575,223
10/24/2020,12781,231,395,7,10837,262
10/25/2020,12928,147,402,7,10975,138
10/26/2020,13090,162,407,5,11227,252
10/27/2020,13227,137,411,4,11474,247
10/28/2020,13394,167,417,6,11658,184
10/29/2020,13552,158,417,0,11658,0
10/30/2020,13710,158,426,9,11939,281
10/31/2020,13870,160,426,0,11939,0
11/01/2020,14030,160,426,0,11939,0
11/02/2020,14191,161,437,11,12594,655
11/03/2020,14264,73,440,3,12699,105
11/04/2020,14395,131,447,7,12854,155
11/05/2020,14493,98,454,7,12948,94
11/06/2020,14638,145,463,9,13021,73
11/07/2020,14759,121,468,5,13142,121
11/08/2020,14916,157,471,3,13413,271
11/09/2020,15038,122,471,0,13570,157
11/10/2020,15163,125,479,8,13692,122
11/11/2020,15307,144,484,5,13754,62
